Vorname,Name,id,Geburtsjahr,Todesjahr,Gebiet,Zitat
Marie,Curie,1,1867,1934,"Physik, Chemie","Was man zu verstehen gelernt hat, fürchtet man nicht mehr."
Albert,Einstein,2,1879,1955,Physik,"Zwei Dinge sind unendlich, das Universum und die menschliche Dummheit, aber bei dem Universum bin ich mir noch nicht ganz sicher."
